sample_id,question,expected_answer,predicted_answer,raw_response,is_correct,score,status
1,"Trong chốc loét, nếu tổn thương liền lại, nó không để lại sẹo xấu.",Sai,Đúng,Đúng,False,0.0,❌
2,Việc xét nghiệm soi đờm trực tiếp thấy có vi khuẩn lao (AFB+) là tiêu chuẩn để chẩn đoán xác định một người mắc bệnh lao phổi.,Đúng,Sai,Sai,False,0.0,❌
3,Cao huyết áp hậu sản là một tình trạng chỉ là vô căn (không rõ nguyên nhân) và không gây biến chứng nguy hiểm.,Sai,Sai,Sai,True,1.0,✅
4,Bệnh võng mạc do ĐTĐ chỉ xảy ra ở người trẻ tuổi.,Sai,Sai,Sai,True,1.0,✅
5,"Ở trẻ em biếng ăn, nên cho ăn vặt và uống đồ ngọt giữa các bữa ăn để bổ sung năng lượng.",Sai,Sai,Sai,True,1.0,✅
6,Thiếu máu do hóa trị liệu chống ung thư được xếp vào nhóm Thiếu máu khác (D64).,Đúng,Đúng,Đúng,True,1.0,✅
7,Người ta không thể mắc bệnh bụi phổi silic nếu đã ngừng làm việc tại môi trường có nhiều bụi silic.,Sai,Sai,Sai,True,1.0,✅
8,Viêm phổi là một trong những nguyên nhân gây tử vong do suy đa tạng ở trẻ bị bệnh não thiếu oxy thiếu máu cục bộ (HIE) nặng.,Đúng,Đúng,Đúng,True,1.0,✅
9,"Teo mật bẩm sinh có thể được gián tiếp đánh giá qua siêu âm, với dấu hiệu túi mật nhỏ và thành dày.",Đúng,Đúng,Đúng,True,1.0,✅
10,Thoái hóa khớp không có nguy cơ dẫn đến tình trạng tàn tật nếu không được xử lý kịp thời.,Sai,Sai,Sai,True,1.0,✅
11,Các bệnh về máu chỉ liên quan đến rối loạn hồng cầu.,Sai,Sai,Sai,True,1.0,✅
12,"Chốc loét là một dạng nhiễm trùng da sâu, xâm lấn xuống trung bì và khi lành sẽ để lại sẹo xấu.",Đúng,Đúng,Đúng,True,1.0,✅
13,Bệnh phổi tắc nghẽn mạn tính (COPD) là bệnh hô hấp không lây nhiễm đặc trưng bởi tắc nghẽn đường thở do phản ứng viêm mạn tính.,Đúng,Đúng,Đúng,True,1.0,✅
14,Bệnh ghẻ là một bệnh nhiễm trùng do vi khuẩn và được điều trị bằng kháng sinh.,Sai,Đúng,Đúng,False,0.0,❌
15,"Trong ngộ độc kim loại nặng cấp tính, các triệu chứng thường đến chậm.",Sai,Đúng,Đúng,False,0.0,❌
16,"Thoái hóa khớp có thể tiến triển nhanh chóng, gây ra vấn đề vận động nghiêm trọng, thậm chí dẫn đến tình trạng tàn tật.",Đúng,Đúng,Đúng,True,1.0,✅
17,"Trong trường hợp trẻ biếng ăn, năng lượng ăn vào đạt được từ 70-90% nhu cầu theo khuyến nghị được phân loại là biếng ăn nặng.",Sai,Sai,Sai,True,1.0,✅
18,Băng huyết sau sinh hay gặp ở phụ nữ sinh con nhiều lần hoặc nạo thai nhiều lần.,Đúng,Đúng,Đúng,True,1.0,✅
19,Bệnh mô liên kết hỗn hợp được chẩn đoán dễ dàng vì nó có một bộ triệu chứng lâm sàng duy nhất và dễ phân biệt.,Sai,Sai,Sai,True,1.0,✅
20,Các biện pháp như châm cứu và kích thích thần kinh qua da (TENS) không được sử dụng để điều trị các bệnh cơ xương khớp.,Sai,Sai,Sai,True,1.0,✅
21,"Bệnh tự miễn chỉ gây tổn thương tại các khớp, không ảnh hưởng đến các cơ quan ngoài khớp.",Sai,Sai,Sai,True,1.0,✅
22,Viêm loét dạ dày không bao giờ cần điều trị phẫu thuật.,Sai,Sai,Sai,True,1.0,✅
23,Hệ thống miễn dịch thích ứng (Adaptive immune system) bao gồm các tế bào đại thực bào và tế bào tua.,Sai,Đúng,Đúng,False,0.0,❌
24,Rung nhĩ thường gặp với những cơn nhịp nhanh kèm suy tim.,Đúng,Đúng,Đúng,True,1.0,✅
25,"Hội chứng Felty là một biến chứng của viêm khớp dạng thấp, đặc trưng bởi giảm bạch cầu hạt, lách to và nhiễm trùng tái phát.",Đúng,Đúng,Đúng,True,1.0,✅
26,Ghẻ là một bệnh nhiễm trùng do vi khuẩn và được điều trị bằng kháng sinh.,Sai,Đúng,Đúng,False,0.0,❌
27,Hầu hết các bệnh nhân (trên 90%) viêm màng não mủ đều có nghe kém kiểu dẫn truyền ở mức độ nhẹ.,Sai,Sai,Sai,True,1.0,✅
28,Khối u được mô tả là “di căn từ” một vị trí cụ thể thì vị trí đó phải được mã hóa là khối u thứ phát.,Sai,Sai,Sai,True,1.0,✅
29,"Hạn chế ăn đồ chiên xào, nhiều dầu mỡ và sô cô la có thể làm trầm trọng thêm triệu chứng ợ nóng của trào ngược dạ dày thực quản.",Đúng,Đúng,Đúng,True,1.0,✅
30,"Ở người bệnh ĐTĐ tuýp 2, biến chứng thần kinh có thể xuất hiện ngay từ lúc chẩn đoán bệnh.",Đúng,Đúng,Đúng,True,1.0,✅
31,"Trong viêm não, tiêu chuẩn chính để chẩn đoán là rối loạn tri giác (ngủ gà, lú lẩn, hôn mê) kéo dài dưới 24 giờ.",Sai,Đúng,Đúng,False,0.0,❌
32,Việc vận động nhẹ nhàng sau sinh là cần thiết giúp mẹ hồi phục tốt và giảm nguy cơ mắc các biến chứng sau phẫu thuật.,Đúng,Đúng,Đúng,True,1.0,✅
33,"Tập thể dục (đi bộ, bơi lội) là cần thiết và hiệu quả đối với những người bị rối loạn lo âu.",Đúng,Đúng,Đúng,True,1.0,✅
34,"Thoái hóa khớp là một bệnh lý viêm hệ thống điển hình, nơi việc tìm kiếm các triệu chứng ngoài khớp là cốt yếu để chẩn đoán.",Sai,Sai,Sai,True,1.0,✅
35,Bệnh viêm khớp dạng thấp có thể có các biểu hiện ngoài khớp ảnh hưởng đến các cơ quan khác.,Đúng,Sai,Sai,False,0.0,❌
36,Bệnh gan nhiễm mỡ không do rượu không có khả năng tiến triển thành xơ gan.,Sai,Sai,Sai,True,1.0,✅
37,"Bệnh ung thư hạch được xếp vào nhóm Bệnh máu, cơ quan tạo máu.",Sai,Đúng,Đúng,False,0.0,❌
38,Các bệnh lý về tai và xương chũm có thể gây ra các biến chứng nội sọ nguy hiểm như áp-xe não.,Đúng,Đúng,Đúng,True,1.0,✅
