instruction,output,code,correct_name,question_type,disease_id,wrong_name
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã G532 là bệnh Trứng cá đỏ khác.",Sai,G532,Liệt nhiều dây thần kinh sọ trong bệnh Saccoit (D86.8†),incorrect_pairing,G532_0_no,Trứng cá đỏ khác
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã G45 là bệnh U ác của sàn miệng.",Sai,G45,Cơn thiếu máu não cục bộ thóang qua và hội chứng liên quan,incorrect_pairing,G45_0_no,U ác của sàn miệng
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã W55 là bệnh Cắn, đả thương do loài động vật có vú khác.",Đúng,W55,"Cắn, đả thương do loài động vật có vú khác",correct_pairing,W55_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã H699 là bệnh Bệnh vòi Eustache, không đặc hiệu.",Đúng,H699,"Bệnh vòi Eustache, không đặc hiệu",correct_pairing,H699_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã A201 là bệnh Chăm sóc theo dõi chỉnh hình không đặc hiệu.",Sai,A201,Dịch hạch thể viêm da mô mềm,incorrect_pairing,A201_0_no,Chăm sóc theo dõi chỉnh hình không đặc hiệu
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã D050 là bệnh Ung thư biểu mô tiểu thuỳ tại chỗ.",Đúng,D050,Ung thư biểu mô tiểu thuỳ tại chỗ,correct_pairing,D050_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã S207 là bệnh Ngứa không đặc hiệu.",Sai,S207,Tổn thương phức tạp nông của ngực,incorrect_pairing,S207_0_no,Ngứa không đặc hiệu
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã L817 là bệnh Bệnh da xuất huyết tăng sắc tố.",Đúng,L817,Bệnh da xuất huyết tăng sắc tố,correct_pairing,L817_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã G558 là bệnh Viêm tử cung mạn.",Sai,G558,Chèn ép rễ và đám rối thần kinh trong bệnh khác phân loại nơi khác,incorrect_pairing,G558_0_no,Viêm tử cung mạn
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã C926 là bệnh Viêm tai giữa trong bệnh phân loại nơi khác.",Sai,C926,Bệnh bạch cầu dạng tủy cấp tính có bất thường 11Q23,incorrect_pairing,C926_0_no,Viêm tai giữa trong bệnh phân loại nơi khác
